Controls,Pair,Task,Deception,Conflict,Gender,Age,Topic,FeltClose,FeltUnderstood,Understood,DiffFeltClose,DiffFeltUnderstood,DiffUnderstood,SpeechbeatRR,SpeechbeatDET,SpeechbeatL,SpeechbeatLMAX,SpeechbeatENTR,SpeechbeatT2
1,62,3,0,1,3,18.5,7,5,5,5.5,0,0,1,0.0644914,0.689228,3.41744,31,1.60252,39.011
1,65,3,1,1,1,21,1,4,5.5,5,0,1,0,0.0479345,0.633485,2.70029,9,1.13162,50.6062
1,66,3,1,1,1,19.5,7,4,4.5,4.5,0,1,1,0.11294,0.830347,4.89213,79,2.0022,30.8147
1,67,3,0,1,3,18.5,7,2.5,4,3.5,1,2,1,0.0955547,0.721996,3.90237,93,1.2915,37.9093
1,68,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,71,3,1,1,3,18.5,5,6,6,6,0,0,0,0.0390358,0.654391,4.38353,16,1.83849,45.6664
1,72,3,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
1,74,3,0,1,0,18.5,1,4,4.5,5,0,1,0,0.00730784,0.158711,2.40369,5,0.781688,111.746
1,75,3,1,1,0,20,1,5,5,5.5,0,2,1,0.0765282,0.662121,2.707,40,1.03542,47.7007
2,7,2,0,0,1,18,1,4.5,5,5.5,1,0,1,0.0101981,0.0181286,2,2,NaN,66.0334
2,8,2,0,0,3,19,2,4.5,5,5.5,1,2,1,0.0307245,0.0487508,2.01583,3,0.0813218,23.6624
2,9,2,1,0,3,19,2,4,3,3,0,4,4,0.0113191,0.0142538,2.01316,3,0.0700543,47.6553
2,11,2,0,0,1,22,4,4,5,5.5,0,2,1,0.0221888,0.0419502,2.02451,4,0.113642,32.9957
2,12,2,0,0,3,19,2,4,4.5,4.5,0,1,1,0.00506168,0.0113681,2,2,NaN,132.642
2,13,2,0,0,1,18,1,4.5,5.5,5,1,1,2,0.000322487,NaN,NaN,1,NaN,185.039
2,15,2,0,0,3,19,1,3.5,4.5,4.5,1,1,1,0.00558343,0.0142033,2,2,NaN,105.713
2,18,2,1,0,1,19.5,7,4,5,5,0,0,0,0.00496509,0.00971706,2,2,NaN,138.86
2,19,2,0,0,3,20,8,4,5,5,0,2,0,0.00699294,0.0101119,2,2,NaN,93.1862
2,21,2,1,0,3,21,7,4.5,4.5,5,1,1,2,0.0142873,0.0236083,2.01143,3,0.0624675,54.5558
2,24,2,0,0,3,21,4,2.5,4,5,3,0,0,0.0298176,0.055601,2.02988,4,0.135175,27.6732
2,25,2,1,0,3,19.5,1,3.5,5,5,3,0,0,0.00307036,0.00276625,2,2,NaN,185.096
2,26,2,1,0,1,21,4,3.5,5.5,5.5,1,1,1,0.0133525,0.0201992,2.01399,3,0.0736038,53.1735
2,27,2,1,0,3,21,5,2.5,4,5,1,4,2,0.0245435,0.0532854,2.01946,3,0.0959114,26.9128
2,30,2,0,0,1,20,2,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
2,31,2,0,0,1,22,6,4.5,4,4.5,1,2,1,0.00818291,0.0107887,2,2,NaN,80.0244
2,33,2,1,0,3,18.5,6,3.5,4.5,4.5,1,1,1,0.0191846,0.023634,2.01036,3,0.0576616,36.275
2,34,2,1,0,1,20.5,5,4,5,4,NaN,NaN,NaN,0.00200922,NaN,NaN,1,NaN,39.6694
2,35,2,0,0,1,20,6,3.5,2.5,4.5,1,3,1,0.0103338,0.016086,2.01075,3,0.0594323,50.8674
2,36,2,1,0,3,20.5,2,4,5.5,6,0,1,0,0.00622087,0.0146636,2,2,NaN,108.296
2,37,2,1,0,1,19.5,1,3.5,4.5,4.5,1,1,1,0.0100798,0.0202433,2,2,NaN,69.7361
2,38,2,0,0,3,18,7,3,4,4,2,2,0,0.00141917,NaN,NaN,1,NaN,244
2,39,2,0,0,1,20.5,6,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,40,2,1,0,0,20,7,4.5,5,5,1,0,0,0.00684932,NaN,NaN,1,NaN,NaN
2,41,2,0,0,3,19.5,2,4,5,5,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,7,3,1,0,1,18,2,4,4,5,2,0,0,0.0164824,0.032414,2.02658,4,0.119991,43.0647
2,8,3,1,0,3,19,3,4,5,5.5,0,0,1,0.0205215,0.035188,2.02315,4,0.108532,30.0638
2,9,3,0,0,3,19,3,4.5,3,3,1,4,4,0.0087459,0.0295136,2,2,NaN,44.9273
2,11,3,1,0,1,22,2,2.5,4.5,5,3,3,2,0.0102298,0.0129476,2,2,NaN,61.721
2,12,3,1,0,3,19,9,2.5,2.5,4.5,1,1,1,0.000832871,0.0136054,2,2,NaN,297.967
2,13,3,1,0,1,18,6,4.5,5,4.5,1,0,3,0.00356566,0.00843684,2,2,NaN,152.35
2,15,3,1,0,3,19,5,3.5,5,5,1,2,2,0.00764516,0.0167124,2,2,NaN,82.953
2,18,3,0,0,1,19.5,2,4,4.5,5.5,2,1,1,0.00501601,0.0120429,2,2,NaN,141.577
2,19,3,1,0,3,20,2,4.5,4.5,4.5,1,1,1,0.00778401,0.0174043,2,2,NaN,74.8914
2,21,3,0,0,3,21,1,4,4,5.5,0,0,1,0.00772211,0.0153415,2.01471,3,0.0766488,88.7387
2,24,3,1,0,3,21,1,4.5,6,6,3,0,0,0.0192743,0.0436716,2.00965,3,0.0543986,40.0314
2,25,3,0,0,3,19.5,5,4,3.5,5.5,2,3,1,0.00152278,0.00505051,2,2,NaN,243.883
2,26,3,0,0,1,21,5,4.5,5.5,5.5,1,1,1,0.0148433,0.024441,2.00901,3,0.0513965,51.5473
2,27,3,0,0,3,21,6,2.5,3.5,4,1,5,0,0.0127177,0.0321657,2.00851,3,0.0490398,37.3916
2,30,3,1,0,1,20,3,3.5,4,4.5,1,2,1,0.00381091,0.00757002,2,2,NaN,123.167
2,31,3,1,0,1,22,2,5,4,5,0,2,0,0.00808616,0.0104817,2,2,NaN,83.051
2,33,3,0,0,3,18.5,1,3,3.5,4,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
2,34,3,0,0,1,20.5,7,3,2,3,NaN,NaN,NaN,0.0093047,0.0213074,2,2,NaN,22.0199
2,35,3,1,0,1,20,10,3.5,4,4,1,0,0,0.012343,0.022303,2.00641,3,0.0387605,61.6217
2,36,3,0,0,3,20.5,6,3.5,3.5,5.5,3,3,1,0.00930844,0.0201469,2.03,3,0.134742,70.9517
2,37,3,0,0,1,19.5,7,4.5,4.5,5.5,3,1,1,0.00684354,0.0129011,2.01754,3,0.0883198,110.237
2,38,3,1,0,3,18,10,4,4.5,5,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN
2,39,3,1,0,1,20.5,10,3.5,5,5,1,0,0,0.00290226,0.00521135,2,2,NaN,73.2743
2,40,3,0,0,0,20,1,4.5,5,5,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,41,3,1,0,3,19.5,1,3.5,5,5,1,0,0,0.00762122,0.0123945,2.04348,3,0.178845,22.5143
2,48,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,49,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,50,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,52,2,0,1,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
2,53,2,1,1,1,18,1,4.5,5.5,5.5,1,1,1,0.0317976,0.0459707,2.01796,3,0.0900062,24.8915
